Country,Amount,Date
"Monaco","3,850",2007
"Malta","704.7",2005
"Belgium","498.7",2006
"Bahrain","493",2003
"Singapore","471.68",2007
"Netherlands","372",2005
"Barbados","372",2004
"Japan","316",2007
"Puerto Rico","289",2004
"Antigua and Barbuda","262",2002
"Saint Vincent and the Grenadines","213",2003
"Hungary","210.38",2007
"Jamaica","201.28",2007
"Luxembourg","201",2004
"Eurozone average","196.25",2005
"Slovenia","190.96",2007
"Germany","180.51",2007
"Switzerland","172.85",2007
"France","172.46",2007
"United Kingdom","172.41",2007
"European Union average","169.95",2005
"Denmark","168.05",2007
"Bangladesh","166",2003
"Czech Republic","162.9",2007
"Italy","162",2005
"Group of 7 countries (G7) average","157.17",2005
"Sri Lanka","148",2003
"NATO countries average","145.3",2003
"High income OECD countries average","134.33",2003
"Cyprus","132.39",2007
"Spain","132",2003
"Ireland","132",2003
"Estonia","128.31",2007
"Austria","127.82",2007
"Lithuania","123.61",2007
"European Union","121.79",2005
"India","111.55",2007
"Latvia","107.89",2007
"Uruguay","102",2004
"Mauritius","99.41",2007
"Seychelles","99",2003
"Sweden","94.84",2007
"Portugal","89.8",2005
"Slovakia","89.24",2006
"Greece","89",2005
"Poland","82.8",2007
"Israel","80.97",2007
"Costa Rica","71.73",2007
"Qatar","68",2006
"United States","68",2005
"Azerbaijan","68",2004
"Lebanon","67",2005
"Philippines","67",2003
"Brunei","63",2005
"Rwanda","57",2004
"Turkey","54.5",2006
"Croatia","51.36",2007
"Vietnam","48.61",2007
"Burundi","48",2004
"Belarus","46",2005
"Bosnia and Herzegovina","43",2005
"Moldova","37.69",2007
"Bulgaria","37.03",2005
"China","36.02",2007
"Thailand","35.24",2006
"New Zealand","35.02",2007
"Burkina Faso","34",2004
"Pakistan","33.78",2006
"The Gambia","33",2004
"Kuwait","32",2004
"Georgia","29.25",2006
"Norway","28.7",2007
"Malaysia","28.23",2005
"Ukraine","28.07",2007
"Armenia","25.22",2007
"Ghana","25",2005
"Cote d'Ivoire","25",2004
"Zimbabwe","25",2002
"Finland","23.33",2007
"Cambodia","22",2004
"Syria","21",2007
"Nigeria","21",2004
"Swaziland","21",2002
"Indonesia","20",2005
"Brazil","20",2004
"Mexico","18.33",2007
"Benin","17",2004
"Bhutan","17",2003
"Uganda","17",2003
"Malawi","16",2003
"Sierra Leone","16",2002
"Oman","15.79",2007
"Ecuador","15.4",2007
"Colombia","14.81",2006
"Canada","14",2004
"Nicaragua","14",2004
"Morocco","12.94",2007
"Iceland","12.67",2007
"Laos","12.59",2006
"Tunisia","12",2004
"Nepal","12",2004
"Guinea-Bissau","12",2002
"Cameroon","11.03",2004
"Kenya","11",2004
"Australia","11",2003
"Saudi Arabia","10.3",2005
"Guinea","10",2003
"Jordan","8.75",2007
"Tanzania","8",2003
"Argentina","8",2003
"Senegal","7",2003
"Peru","6.1",2006
"Afghanistan","6.06",2006
"Bolivia","6",2004
"Russia","5.46",2006
"Algeria","5",2004
"Congo, Republic of the","5",2004
"United Arab Emirates","5",2004
"Namibia","5",2002
"Botswana","4.3",2005
"Burma","4.11",2005
"Kazakhstan","3.42",2007
"Chad","3",2006
"Ethiopia","3",2004
"Gabon","3",2004
"Suriname","3",2003
"Mongolia","3",2002
"Niger","1.5",2007
"Mauritania","1.1",2006
"Mali","1",2004
