"COU","Country","VAR","Variable","PER","Period","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,3138.336,,
"AUS","Australia","INTERN_RESOU","Internal resources","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,407.676,,
"AUS","Australia","OUT_RESOU","Outflow total","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,350,,
"AUS","Australia","PREC_RESOU","Precipitation","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,3538.32,,
"AUS","Australia","RENEW_PC","Total renewable per capita (m3/cap)","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,16175.57,,
"AUS","Australia","RENEW_RESOU","Total renewable","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,407.676,,
"AUT","Austria","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,43.1,,
"AUT","Austria","IN_RESOU","Inflow","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,29.3,,
"AUT","Austria","INTERN_RESOU","Internal resources","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,56.7,,
"AUT","Austria","OUT_RESOU","Outflow total","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,86,,
"AUT","Austria","OUT_NEI_RESOU","Outflow to neighbours","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,86,,
"AUT","Austria","OUT_SEA_RESOU","Outflow to sea","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,0,,
"AUT","Austria","PREC_RESOU","Precipitation","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,99.8,,
"AUT","Austria","RENEW_PC","Total renewable per capita (m3/cap)","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,9603.457,,
"AUT","Austria","RENEW_RESOU","Total renewable","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,86,,
"BEL","Belgium","AQUIFER_RESOU","Recharge into the Aquifer","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,4.06461,,
"BEL","Belgium","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,15.218,,
"BEL","Belgium","IN_RESOU","Inflow","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,15.85229,,
"BEL","Belgium","INTERN_RESOU","Internal resources","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,9.91229,,
"BEL","Belgium","OUT_RESOU","Outflow total","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,23.19573,,
