"COU","Country","VAR","Variable","PER","Period","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,3138.336,,
"AUT","Austria","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,43.1,,
"BEL","Belgium","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,15.218,,
"CZE","Czech Republic","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,38.41,,
"DNK","Denmark","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,22.145,,
"FIN","Finland","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,115,,
"FRA","France","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,317.3274,,
"DEU","Germany","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,161,,
"GRC","Greece","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,55,,
"HUN","Hungary","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,48.174,,
"ISL","Iceland","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,30,,
"IRL","Ireland","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,38.30807,,
"ITA","Italy","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,147.3654,,
"JPN","Japan","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,230,,
"KOR","Korea","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,56.3,,
"LUX","Luxembourg","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,1.1249,,
"MEX","Mexico","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,1046.592,,
"NLD","Netherlands","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,21.2925,,
"NZL","New Zealand","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,118.17386,,
"NOR","Norway","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,141.052,,
"POL","Poland","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,142.772,,
"PRT","Portugal","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,43.571,,
"SVK","Slovak Republic","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,24.278,,
"ESP","Spain","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,226.453,,
"SWE","Sweden","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,164.857,,
"CHE","Switzerland","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,21.382,,
"TUR","Turkey","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,275.7,,
"GBR","United Kingdom","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,127.2895,,
"USA","United States","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,3980,,
"CHL","Chile","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,248.47645,,
"ISR","Israel","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,3.86,"E","Estimated value"
"LVA","Latvia","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,23.573,,
"SVN","Slovenia","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,13.1495,,
"LTU","Lithuania","EVAP_RESOU","Evapotranspiration","AVG","Average Period","9999","Latest available year","M3","Cubic metres","9","Billions",,,31.58372,,
