|metroId|metropolitanAreas|lat|long|CDD|URB_AREA|URB_AREA_CORE|FRAGMENTATION|POP_DEN|PWM_EX_CORE|T_Y0_14_SH_NAT|T_Y15_64_SH_NAT|T_Y65_MAX_SH_NAT|CONSTR_RAT|TREECOVER_SHARE_CORE|CITY_REL_ROADS|CITY_REL_WATER|CITY_EVAPOTRANS
11|AUS06|Gold Coast|-28.002373100000003|153.4145987|169.0|314.0|137.0|8.5|303.0|5.7|2.3|2.4|2.5|0.16854535695115405|24.5|0.002664189640692562|3.9738821937527464e-05|0.7601020236556847
13|AUS08|Newcastle|54.97384739999999|-1.6131572|115.0|284.0|137.0|8.2|284.0|7.4|1.9|1.9|2.2|0.17963314358001264|34.7|0.0022609145582044767|3.3723605734423465e-05|0.6450463228124732
14|AUS10|Wollongong|-34.4243941|150.89385|24.0|127.0|52.0|7.5|669.0|6.6|1.2|1.2|1.4|0.3038277511961722|44.5|0.000597762356312126|8.916171535097413e-06|0.17054355656901565
15|AUS11|Sunshine Coast|-26.5443222|153.0507705|176.0|131.0|44.0|8.8|374.0|5.3|1.0|1.0|1.3|0.20404984423676012|36.5|0.0009180943367281937|1.3694215611321863e-05|0.26193531894092836
16|AUS14|Geelong|-38.1492813|144.3598269|99.0|167.0|85.0|7.3|61.0|7.9|1.1|1.1|1.4|0.03764652840396754|2.2|0.006343717255025338|9.46223371523735e-05|1.8098832941151997
29|CAN08|Winnipeg|49.8955367|-97.1384584|11.0|301.0|220.0|3.4|62.0|6.3|2.5|2.4|2.2|0.022070684851151195|1.3|1.9043882768889964|0.017173910512306285|2.1826697387962164
30|CAN09|Hamilton|43.2560802|-79.8728583|4.0|285.0|193.0|0.6|220.0|9.3|1.8|1.8|1.9|0.09906152241918666|17.7|1.9043882768889964|0.017173910512306285|2.1826697387962164
31|CAN10|London|51.5073219|-0.1276474|5.0|227.0|131.0|3.7|102.0|8.8|1.6|1.6|1.6|0.0410711054821784|4.7|1.9043882768889964|0.017173910512306285|2.1826697387962164
32|CAN11|Kitchener|43.451291|-80.49278149999999|1.0|194.0|150.0|1.8|220.0|8.7|1.7|1.6|1.4|0.07587016034415331|10.4|1.9043882768889964|0.017173910512306285|2.1826697387962164
33|CAN12|Halifax|44.648618|-63.58594870000001|1.0|115.0|97.0|3.0|45.0|5.8|1.2|1.3|1.2|0.011119706052987817|84.1|1.9043882768889964|0.017173910512306285|2.1826697387962164
