Country,City,Population_Growth,Cooling_Days
Australia,  AUS02: Greater Melbourne,141.8,94.0 
Australia,  AUS03: Greater Brisbane,145.4,218.0 
Australia,  AUS04: Greater Perth,141.5,206.0 
Australia,  AUS05: Greater Adelaide,117.2,296.0 
Australia,  AUS06: Gold Coast,159.4,236.0 
Australia,  AUS07: Canberra,130.9,71.0 
Australia,  AUS08: Newcastle,116.3,198.0 
Australia,  AUS10: Wollongong,116.2,111.0 
Australia,  AUS11: Sunshine Coast,158.7,219.0 
Australia,  AUS14: Geelong,135.4,94.0 
Colombia,  COL02: Medellin,125.9,68.0 
Colombia,  COL03: Cali,123.3,316.0 
Colombia,  COL04: Barranquilla,125.6,"2,425.0 "
Colombia,  COL05: Cartagena,122.3,"2,200.0 "
Colombia,  COL06: Bucaramanga,117.5,538.0 
Colombia,  COL07: Cucuta,122.5,"1,135.0 "
Colombia,  COL08: Pereira,112.9,259.0 
Colombia,  COL09: Ibague,120.7,352.0 
Colombia,  COL10: Manizales,111.5,136.0 
Colombia,  COL11: Santa Marta,129.3,399.0 
Colombia,  COL12: Pasto,127.5,0.0 
Colombia,  COL13: Armenia,110.1,237.0 
Colombia,  COL14: Villavicencio,151.7,771.0 
Colombia,  COL15: Monteria,128.9,"1,719.0 "
Colombia,  COL16: Valledupar,152.2,"1,356.0 "
Colombia,  COL17: Buenaventura,140.6,701.0 
Colombia,  COL18: Neiva,114.6,723.0 
Colombia,  COL19: Palmira,113.3,352.0 
Colombia,  COL20: Popayan,113.5,0.0 
Colombia,  COL21: Sincelejo,128.6,"1,975.0 "
Colombia,  COL25: Riohacha,213.2,"1,324.0 "
Denmark,  DK001: Copenhagen,112.7,16.0 
Denmark,  DK002: Aarhus,113.6,6.0 
Denmark,  DK003: Odense,106.5,11.0 
Denmark,  DK004: Aalborg,108.9,4.0 
Finland,  FI001: Helsinki,119.5,27.0 
Finland,  FI002: Tampere,114.2,31.0 
Finland,  FI003: Turku,107.6,22.0 
Finland,  FI004: Oulu,113.8,17.0 
Norway,  NO001: Oslo,130.4,5.0 
Norway,  NO002: Bergen,124.7,2.0 
Norway,  NO003: Trondheim,126.1,2.0 
Norway,  NO004: Stavanger,130.6,2.0 
Sweden,  SE001: Stockholm,127.3,28.0 
Sweden,  SE002: Gothenburg,115.3,7.0 
Sweden,  SE003: Malmo,118.2,11.0 
Sweden,  SE006: Uppsala,124.9,32.0 
